,not_blank_or_descriptive_lines
6840,"Last year a nigga hit her, and now she only date white men
"
6841,"And if a nigga even wave at her, it's frightenin', but
"
6842,"(""Breaking up"") We can make it better (better we can)
"
6843,"(""Breaking up"") We can make it better
"
6844,"(Better we can make it on up, we can)
"
6845,"(""Breaking up"") We can make it better (better we can)
"
6846,"(""Breaking up"") We can make it
"
6847,"The night fallin' over Brooklyn where they murder for change
"
6848,"The converter remains faithful to the drug dealer priestess
"
6849,"He in search of the word of fame, you heard of the name
"
6850,"Kweli the truth like I'm comin' out the mouths of babes
"
6851,"One foot in and one foot out the grave, niggas want they reparations, how you calculate the amount to be paid?
"
6852,"You try to imagine America without the slaves (The slaves)
"
6853,"(""Breaking up"") We can make it better (better we can)
"
6854,"(""Breaking up"") We can make it better
"
6855,"(Better we can make it on up, we can)
"
6856,"(""Breaking up"") We can make it better (better we can)
"
6857,"(""Breaking up"") We can make it
"
6858,"Good looks, Ye! Her tenement, yo, is rat infested
"
6859,"Her heart is like a gold bullion because she went and protested
"
6860,"'Cause her best friend's man got popped
"
6861,"He was sixteen years old, the cop thought his phone was a Glock
"
6862,"In the hood is an everyday happenin'
"
6863,"In front of the precinct, she chews out the captain
"
6864,"She yells out, ""Why y'all do this to black men?"" C'mon
"
6865,"(""Breaking up"") We can make it better (better we can)
"
6866,"(""Breaking up"") We can make it better
"
6867,"(Better we can make it on up, we can)
"
6868,"(""Breaking up"") We can make it better (better we can)
"
6869,"(""Breaking up"") We can make it
"
6870,"I think of eighty-seven ways to make better days
"
6871,"Whether crime or rhyme, I heard the rebel pays
"
6872,"On the scene, tryin' to get green like everglades
"
6873,"The music, ridin' it good like Escalades
"
6874,"In the ghetto infested by shade and drama
"
6875,"And niggas wit' thangs ain't afraid of karma
"
6876,"I'm thinkin' big like Lil Wayne and Tha Carters's that-
"
6877,"(""Breaking up"") We can make it better (better we can)
"
6878,"(""Breaking up"") We can make it better
"
6879,"(Better we can make it on up, we can)
"
6880,"(""Breaking up"") We can make it better (better we can)
"
6881,"(""Breaking up"") We can make it
"
6882,"C'mon, look
"
6883,"Tell people the truth, but never give 'em your true thoughts
"
6884,"Terrorism on blacks, they poison our Newports
"
6885,"Patriot Act in effect, make it hard to breathe now
"
6886,"Johnnie Cochran dead, who gonna get us ""Us free"" now?
"
6887,"Clinton ain't in office, who gon' give us shit free now?
"
6888,"Who gon' make it better for the thugs in the penal?
"
6889,"Who gon' make it good for old folks that's senile?
"
6890,"Oh, it's G.O.O.D. Music, yeah, dawg, I see now
"
6891,"We can make it better (better we can)
"
6892,"(""Breaking up"") We can make it better
"
6893,"(Better we can make it on up, we can)
"
6894,"(""Breaking up"") We can make it better (better we can)
"
6895,"(""Breaking up"") We can make it
"
6896,"Kanye, can I talk to you for a minute?
"
6897,"Me and the other faculty members was wonderin'
"
6898,"Could you do a lil' som...
"
6899,"Somethin' beautiful, somethin' that the kids are gon' love when they hear it
"
6900,"That's gon' make them start jumpin' up and down, and sharin' candy and stuff
"
6901,"Think you could probably do somethin', for the kids, for graduation to sing?
"
6902,"Oh yeah...
"
6903,"I got the perfect song for the kids to sing...
"
6904,"And all my people that's—
"
6905,"Drug dealin' just to get by
"
6906,"Stack your money 'til it get sky high
"
6907,"We wasn't supposed to make it past 25
"
6908,"Joke's on you, we still alive
"
6909,"Throw your hands up in the sky and say
"
6910,"""We don't care what people say""
"
6911,"If this is your first time hearin' this
"
6912,"You are about to experience somethin' so cold, man
"
6913,"We never had nothin' handed, took nothin' for granted
"
6914,"Took nothin' from no man, man, I'm my own man
"
6915,"But as a shorty, I looked up to the dope man
"
6916,"Only adult man I knew that wasn't broke, man
"
6917,"Flickin' Starter coats, man, man, you don't know, man
"
6918,"We don't care what people say
"
6919,"This is for my niggas outside all winter
"
6920,"'Cause this summer they ain't finna say, ""Next summer, I'm finna""
"
6921,"Sittin' in the hood like community colleges
"
6922,"This dope money here is Lil' Trey's scholarship
"
6923,"'Cause ain't no tuition for having no ambition
"
6924,"And ain't no loans for sittin' your ass at home
"
6925,"So we forced to sell crack, rap, and get a job
"
6926,"You gotta do somethin' man, your ass is grown
"
6927,"Drug dealin' just to get by
"
6928,"Stack your money 'til it get sky high
"
6929,"(Kids, sing! Kids, sing!)
"
6930,"We wasn't supposed to make it past 25
"
6931,"Joke's on you, we still alive
"
6932,"Throw your hands up in the sky and say
"
6933,"""We don't care what people say""
"
6934,"The second verse is for my dogs workin' 9 to 5 that still hustle
"
6935,"'Cause a nigga can't shine off $6.55
"
6936,"And everybody sellin' makeup, Jacob's
"
6937,"And bootlegged tapes just to get they cake up
"
6938,"We put shit on layaway, then come back
"
6939,"We claim other people kids on our income tax
"
6940,"We take that money, cop work, then push packs to get paid
"
6941,"And we don't care what people say
"
6942,"Momma say she wanna move South
"
6943,"Scratchin' lottery tickets, eyes on a new house
"
6944,"'Round the same time, Doe ran up in dude house
"
6945,"Couldn't get a job, so since he couldn't get work
"
6946,"He figured he'd take work
"
6947,"The drug game bulimic, it's hard to get weight
"
6948,"A nigga's money is homo, it's hard to get straight
"
6949,"But we gon' keep bakin' til the day we get cake
"
6950,"And ""we don't care what people say,"" my niggas
"
6951,"Drug dealin' just to get by
"
6952,"Stack your money 'til it get sky high
"
6953,"(Kids, sing! Kids, sing!)
"
6954,"We wasn't supposed to make it past 25
"
6955,"Joke's on you, we still alive
"
6956,"Throw your hands up in the sky and say
"
6957,"""We don't care what people say""
"
6958,"You know the kids' gon' act a fool
"
6959,"When you stop the programs for after school
"
6960,"And they DCFS, some of 'em dyslexic
"
6961,"They favorite 50 Cent song ""12 Questions""
"
6962,"We scream: ""rocks, blow, weed, park"", see, now we smart
"
6963,"We ain't retards, the way teachers thought
"
6964,"Hold up, hold fast, we make more cash
"
6965,"Now tell my momma I belong in that slow class
"
6966,"Sad enough we on welfare, they tryna put me on the school bus
"
6967,"With the space for the wheelchair
"
6968,"I'm tryna get the car with the chromie wheels here
"
6969,"They tryna cut our lights out like we don't live here
"
6970,"Look what was handed us, fathers abandoned us
"
6971,"When we get them hammers, go on, call the ambulance
"
6972,"Sometimes I feel no one in this world understands us
"
6973,"But ""we don't care what people say,"" my niggas
"
6974,"Drug dealin' just to get by
"
6975,"Stack your money 'til it get sky high
"
6976,"(Kids, sing! Kids, sing!)
"
6977,"We wasn't supposed to make it past 25
"
6978,"Joke's on you, we still alive
"
6979,"Throw your hands up in the sky and say
"
6980,"""We don't care what people say""
"
6981,"What in the fuck was that, Kanye?! I told you to do some shit for the kids! You can give me your muthafuckin' graduation ticket right now! You give me this muthafuckin' robe before you catch some senioritis! You will not walk across that stage, you won’t slide across that stage! A muthafucka can’t pull you across that stage, Kanye! Who told you? See, I told you to do somethin' uplifting! I’m tryin' to get you out here with these white people and this how you're gonna do me! You know what, you's a nigga. And I don’t mean that in no nice way. Had little kids sing about the shit, the jokes on you. You throw your muthafuckin hands in the air, and wave good-bye to every-mothafuckin-body! Cause you gettin' the fuck out of this campus! What the fuck you gon' do now?
"
6982,"I'm no longer confused, but don't tell anybody
"
6983,"I'm about to break the rules, but don't tell anybody
"
6984,"I got something better than school, so don't tell anybody
"
6985,"My momma would kill me, so don't tell anybody
"
6986,"She wants me to get a good ass job, just like everybody
"
6987,"She ain't walked in my shoes, I'm just not everybody
"
6988,"Oh, when it all, it all falls down
"
6989,"Yeah, this the real one, baby
"
6990,"I'm tellin' you all, it all falls down
"
6991,"Uh, Chi-Town, stand up!
"
6992,"Oh, when it all, it all falls down
"
6993,"Southside, Southside
"
6994,"We gon' set this party off right
"
6995,"I'm tellin' you all, it all falls down
"
6996,"Westside, Westside
"
6997,"We gon' set this party off right
"
6998,"Oh, when it all
"
6999,"Man, I promise, she's so self-conscious
"
7000,"She has no idea what she doin' in college
"
7001,"That major that she majored in don't make no money
"
7002,"But she won't drop out, her parents'll look at her funny
"
7003,"Now, tell me that ain't insecurr
"
7004,"The concept of school seems so securr
"
7005,"Sophomore, three yurrs, ain't picked a carurr
"
7006,"She like, ""Fuck it, I'll just stay down hurr and do hair.""
"
7007,"'Cause that's enough money to buy her a few pairs
"
7008,"Of new Airs, 'cause her baby daddy don't really care
"
7009,"She's so precious with the peer pressure
"
7010,"Couldn't afford a car, so she named her daughter Alexis
"
7011,"She had hair so long that it looked like weave
"
7012,"Then she cut it all off, now she look like Eve
"
7013,"And she be dealin' with some issues that you can't believe
"
7014,"Single black female addicted to retail, and well
"
7015,"Oh, when it all, it all falls down
"
7016,"And when it falls down, who you gon' call now?
"
7017,"I'm tellin' you all, it all falls down
"
7018,"C'mon, c'mon, and when it falls down
"
7019,"Oh, when it all
"
7020,"Man, I promise, I'm so self-conscious
"
7021,"That's why you always see me with at least one of my watches
"
7022,"Rollie's and Pasha's done drove me crazy
"
7023,"I can't even pronounce nothin', pass that Ver-say-see!
"
7024,"Then I spent four hundred bucks on this
"
7025,"Just to be like, ""Nigga, you ain't up on this.""
"
7026,"And I can't even go to the grocery store
"
7027,"Without some Ones that's clean and a shirt with a team
"
7028,"It seem we livin' the American Dream
"
7029,"But the people highest up got the lowest self-esteem
"
7030,"The prettiest people do the ugliest things
"
7031,"For the road to riches and diamond rings
"
7032,"We shine because they hate us, floss 'cause they degrade us
"
7033,"We tryna buy back our 40 acres
"
7034,"And for that paper, look how low we'll stoop
"
7035,"Even if you in a Benz, you still a nigga in a coupe
"
7036,"Oh, when it all, it all falls down
"
7037,"Come on, come on
"
7038,"I'm tellin' you all, it all falls down
"
7039,"And when it falls down, who you gon' call now?
"
7040,"Oh, when it all, it all falls down
"
7041,"Come on, come on
"
7042,"I'm tellin' you all, it all falls down
"
7043,"And when it all falls down
"
7044,"I say, ""Fuck the police,"" that's how I treat 'em
"
7045,"We buy our way out of jail, but we can't buy freedom
"
7046,"We'll buy a lot of clothes, but we don't really need 'em
"
7047,"Things we buy to cover up what's inside
"
7048,"'Cause they made us hate ourself and love they wealth
"
7049,"That's why shorty's hollerin', ""Where the ballers at?""
"
7050,"Drug dealer buy Jordan, crackhead buy crack
"
7051,"And the white man get paid off of all of that
"
7052,"But I ain't even gon' act holier than thou
"
7053,"'Cause fuck it, I went to Jacob with 25 thou
"
7054,"Before I had a house and I'd do it again
"
7055,"‘Cause I wanna be on 106 & Park, pushin' a Benz
"
7056,"I want to act ballerific like it's all terrific
"
7057,"I got a couple past-due bills, I won't get specific
"
7058,"I got a problem with spendin' before I get it
"
7059,"We all self-conscious, I'm just the first to admit it
"
7060,"Oh, when it all, it all falls down
"
7061,"C'mon, c'mon
"
7062,"And when it falls down, who you gon' call now?
"
7063,"I'm tellin' you all, it all falls down
"
7064,"C'mon c'mon, and when it falls down
"
7065,"Oh, when it all, it all falls down
"
7066,"Southside, Southside
"
7067,"We gon' set this party off right
"
7068,"I'm tellin' you all, it all falls down
"
7069,"Westside, Westside
"
7070,"We gon' set this party off right
"
7071,"Oh when it all, it all falls down
"
7072,"Chi-Town, Chi-Town
"
7073,"We gon' show 'em how we get down
"
7074,"I'm tellin' you all, it all falls down
"
7075,"Now, Syleena, you just like a safe belt, you saved my life
"
7076,"C'mon
"
7077,"Oh when it all, it all falls down
"
7078,"I'm tellin' you all, it all falls down
"
7079,"One glad morning
"
7080,"When this life is over
"
7081,"I'll fly away
"
7082,"To a land where
"
7083,"Joy shall never end
"
7084,"I'll fly away
"
7085,"Oh I'll fly away oh glory
"
7086,"I'll fly away
"
7087,"When I die Hallelujah bye and bye
"
7088,"I'll fly away
"
7089,"I've been workin' this graveshift and I ain't made shit
"
7090,"I wish I could buy me a spaceship and fly past the sky
"
7091,"I've been workin' this graveshift and I ain't made shit
"
7092,"I wish I could buy me a spaceship and fly past the sky
"
7093,"If my manager insults me again
"
7094,"I will be assaulting him
"
7095,"After I fuck the manager up
"
7096,"Then I'm gonna shorten the register up
"
7097,"Let's go back, back to the Gap
"
7098,"Look at my check, wasn't no scratch
"
7099,"So if I stole, wasn't my fault
"
7100,"Yeah, I stole, never got caught
"
7101,"They take me to the back and pat me
"
7102,"Askin' me about some khakis
"
7103,"But let some black people walk in
"
7104,"I bet you they show off their token blackie
"
7105,"Oh, now they love Kanye
"
7106,"Let's put him all in the front of the store
"
7107,"So I'm on break, next to the ""No Smoking"" sign
"
7108,"With a blunt in the mall
"
7109,"Takin' my hits, writin' my hits
"
7110,"Writin' my rhymes, playin' my mind
"
7111,"This fuckin' job can't help him
"
7112,"So I quit, y'all welcome
"
7113,"Y'all don't know my struggle
"
7114,"Y'all can't match my hustle, you can't catch my hustle
"
7115,"You can't fathom my love, dude, lock yourself in a room
"
7116,"Doin' 5 beats a day for 3 summers
"
7117,"That's A Different World like Cree Summer's
"
7118,"I deserve to do these numbers
"
7119,"""The kid that made that deserves that Maybach!""
"
7120,"So many records in my basement
"
7121,"I'm just waitin' on my spaceship
"
7122,"I've been workin' this graveshift and I ain't made shit
"
7123,"I wish I could buy me a spaceship and fly past the sky
"
7124,"I've been workin' this graveshift and I ain't made shit
"
7125,"I wish I could buy me a spaceship and fly past the sky
"
7126,"And I didn't even try to work a job
"
7127,"Represent the mob, at the same time
"
7128,"Thirsty on the grind, Chi state of mind
"
7129,"Lost my momma, lost my mind
"
7130,"Life my love, that's not mine
"
7131,"""Why you ain't signed?"" Wasn't my time
"
7132,"Leave me alone, work for y'all
"
7133,"Half of it's yours, half of it's mine
"
7134,"Only one to ball, never one to fall
"
7135,"Gotta get mine, gotta take mine
"
7136,"Got a Tec-9, reach my prime
"
7137,"Gotta make these haters respect mine
"
7138,"In the mall till 12 when my schedule had said 9
"
7139,"Puttin' them pants on shelves, waitin' patiently I ask myself
"
7140,"Where I wanna go, where I wanna be
"
7141,"Life is much more than runnin' in the streets
"
7142,"Holla at 'Ye, hit me with the beat
"
7143,"Put me on my feet, sound so sweet
"
7144,"Yes, I'm the same ol' G, same goatee, stayin' low key, nope
"
7145,"Holler at God, ""Man, why'd you have to take my folks?""
"
7146,"Hope to see Freddie G., Yusef G, love my G
"
7147,"Rolly G, police watch me smoke my weed, count my G's
"
7148,"Got a lot of people countin' on me
"
7149,"And I'm just tryin' to find my peace
"
7150,"Should've finished school like my niece
"
7151,"Then I finally wouldn't use my piece, blaow!
"
7152,"(Aww, man, this pressure)
"
7153,"I've been workin' this graveshift and I ain't made shit
"
7154,"I wish I could buy me a spaceship and fly past the sky
"
7155,"I've been workin' this graveshift and I ain't made shit
"
7156,"I wish I could buy me a spaceship and fly past the sky
"
7157,"I 'member havin' to take the dollar cab
"
7158,"Comin' home real late at night
"
7159,"Standin' on my feet all damn day
"
7160,"Tryin' to make this thing right
"
7161,"And havin' one of my co-workers say ""Yo, you look just like
"
7162,"This kid I seen in an old Busta Rhymes video the other night""
"
7163,"Well, easy come, easy go, how that saying goes
"
7164,"No more broad service, cars, and them TV shows
"
7165,"I had all that snatched from me
"
7166,"A&Rs and they faculties all turn their back on me
"
7167,"And didn't want to hear a rap from me
"
7168,"So naturally actually had to face things factually
"
7169,"Had to be a catastrophe with the fridges staring back at me
"
7170,"'Cause nothing's there, nothing's fair
"
7171,"I don't wanna ever go back there
"
7172,"So I won't be takin' no days off 'til my spaceship takes off
"
7173,"I've been workin' this graveshift and I ain't made shit
"
7174,"I wish I could buy me a spaceship and fly past the sky
"
7175,"I've been workin' this graveshift and I ain't made shit
"
7176,"I wish I could buy me a spaceship and fly past the sky
"
7177,"I wanna fly, I wanna fly
"
7178,"I said I want my chariot to pick me up
"
7179,"And take me, brother, for a ride
"
7180,"We at war
"
7181,"We at war with terrorism, racism
"
7182,"But most of all we at war with ourselves
"
7183,"(Jesus walk)
"
7184,"God show me the way because the Devil's tryna break me down
"
7185,"(Jesus walk with me)
"
7186,"You know what the Midwest is? Young and restless
"
7187,"Where restless (Niggas) might snatch your necklace
"
7188,"And next these (Niggas) might jack your Lexus
"
7189,"Somebody tell these (Niggas) who Kanye West is
"
7190,"I walk through the valley of the Chi where death is
"
7191,"Top floor the view alone will leave you breathless *gasps*
"
7192,"Try to catch it *gasps* it's kinda hard
"
7193,"Getting choked by detectives, yeah, yeah, now check the method
"
7194,"They be askin' us questions, harass and arrest us
"
7195,"Sayin' ""We eat pieces of shit like you for breakfast""
"
7196,"Huh? Y'all eat pieces of shit? What's the basis?
"
7197,"We ain't going nowhere but got suits and cases
"
7198,"A trunk full of coke, rental car from Avis
"
7199,"My mama used to say only Jesus can save us
"
7200,"Well mama I know I act a fool
"
7201,"But I'll be gone 'til November, I got packs to move
"
7202,"I hope
"
7203,"(Jesus walk)
"
7204,"God show me the way because the Devil's tryna break me down
"
7205,"(Jesus walk with me)
"
7206,"The only thing that I pray is that my feet don't fail me now
"
7207,"(Jesus walk)
"
7208,"And I don't think there's nothin' I can do now to right my wrongs
"
7209,"(Jesus walk with me)
"
7210,"I wanna talk to God but I'm afraid 'cause we ain't spoke in so long
"
7211,"(Jesus walk)
"
7212,"God show me the way because the Devil's tryna break me down
"
7213,"(Jesus walk with me)
"
7214,"The only thing that I pray is that my feet don't fail me now
"
7215,"(Jesus walk)
"
7216,"And I don't think there's nothin' I can do now to right my wrongs
"
7217,"(Jesus walk with me)
"
7218,"I wanna talk to God but I'm afraid 'cause we ain't spoke in so long
"
7219,"So long, so long
"
7220,"(Jesus walk with me)
"
7221,"To the hustlers, killers, murderers, drug dealers, even the scrippers
"
7222,"(Jesus walks for them)
"
7223,"To the victims of welfare feel we livin' in Hell here, hell yeah
"
7224,"(Jesus walks for them)
"
7225,"Now, hear ye, hear ye, want to see Thee more clearly
"
7226,"I know He hear me when my feet get weary
"
7227,"'Cause we're the almost nearly extinct
"
7228,"We rappers is role models: we rap, we don't think
"
7229,"I ain't here to argue about His facial features
"
7230,"Or here to convert atheists into believers
"
7231,"I'm just tryna say the way school need teachers
"
7232,"The way Kathie Lee needed Regis, that's the way I need Jesus
"
7233,"So here go my single, dawg, radio needs this
"
7234,"They say you can rap about anything except for Jesus
"
7235,"That means guns, sex, lies, videotape
"
7236,"But if I talk about God my record won't get played, huh?
"
7237,"Well if this take away from my spins
"
7238,"Which'll probably take away from my ends
"
7239,"Then I hope this take away from my sins
"
7240,"And bring the day that I'm dreamin' about
"
7241,"Next time I'm in the club, everybody screamin' out
"
7242,"(Jesus walk)
"
7243,"God show me the way because the Devil's tryna break me down
"
7244,"(Jesus walk with me)
"
7245,"The only thing that I pray is that my feet don't fail me now
"
7246,"When it comes to being true, at least true to me
"
7247,"One thing I've found, one thing I found
"
7248,"Oh no, you'll never let me down
"
7249,"Get up, I get down, get up, I get down
"
7250,"Get up, I get down, get up, I get down
"
7251,"Get up, I get down, get up, I get down
"
7252,"Yo, first I snatched the streets, then I snatched the charts
"
7253,"First I had they ear, now I have they heart
"
7254,"Rappers came and went, I've been here from the start
"
7255,"I seen them put it together, watched them take it apart
"
7256,"Seen the Rovers roll up with ribbons
"
7257,"I seen them re-po'd, re-sold, then re-driven
"
7258,"So when I reload, he holds number one position
"
7259,"When you hot, I'm hot
"
7260,"And when your feet cold, mines is sizzling
"
7261,"It's plain to see, niggas can't fuck with me
"
7262,"'cause I'ma be that nigga for life
"
7263,"This is not an image, this is God-given
"
7264,"This is hard-livin', mixed with Cristal sippin'
"
7265,"It's the most consistent, Hov
"
7266,"Give you the most hits you can fit inside a whole disc and
"
7267,"Nigga I'm home on these charts, y'all niggas visitin'
"
7268,"It's Hov tradition, Jeff Gordon of rap
"
7269,"I'm back to claim pole position, holla at ya boy
"
7270,"When it comes to being true, at least true to me
"
7271,"One thing I've found, one thing I found
"
7272,"Oh no, you'll never let me down
"
7273,"Get up, I get down, get up, I get down
"
7274,"Get up, I get down, get up, I get down
"
7275,"Get up, I get down, get up
"
7276,"I get down for my grandfather who took my mama
"
7277,"Made her sit in that seat where white folks ain't want us to eat
"
7278,"At the tender age of 6, she was arrested for the sit-ins
"
7279,"And with that in my blood I was born to be different
"
7280,"Now niggas can't make it to ballots to choose leadership
"
7281,"But we can make it to Jacob's and to the dealership
"
7282,"That's why I hear new music and I just don't be feelin' it
"
7283,"Racism's still alive, they just be concealin' it
"
7284,"But I know they don't want me in the damn club
"
7285,"They even made me show ID to get inside of Sam's Club
"
7286,"I done did dirt and went to church to get my hands scrubbed
"
7287,"Swear I've been baptized 'least three or four times
"
7288,"But in the land where niggas praise Yukons and getting paid
"
7289,"It's gonna take a lot more than coupons to get us saved
"
7290,"Like it take a lot more than doo rags to get you waves
"
7291,"Nothing sad as that day my girl's father passed away
"
7292,"So I promised to Mr. Rainey I'm gonna marry your daughter
"
7293,"And you know I gotta thank you for the way that she was brought up
"
7294,"And I know that you were smiling when you see the car I bought her
"
7295,"You sent tears from heaven when you seen my car get balled up
"
7296,"But I can't complain what the accident did to my left eye
"
7297,"'Cause look what an accident did to Left Eye
"
7298,"First Aaliyah now Romeo must die
"
7299,"I know I got angels watching me from the other side
"
7300,"When it comes to being true, at least true to me
"
7301,"One thing I've found, one thing I found
"
7302,"Oh no, you'll never let me down
"
7303,"Get up, I get down, get up, I get down
"
7304,"Get up, I get down, get up, I get down
"
7305,"Get up, I get down, get up, I get down
"
7306,"We are all here for a reason on a particular path
"
7307,"You don't need a curriculum to know that you're a part of the math
"
7308,"Cats think I'm delirious but I'm so damn serious
"
7309,"That's why I expose my soul to the globe; the world
"
7310,"I'm trying to make it better for these little boys and girls
"
7311,"I'm not just another individual
"
7312,"My spirit is a part of this that's why I get spiritual
"
7313,"But I get my hymns from Him
"
7314,"So it's not me, it's He that's lyrical
"
7315,"I'm not a miracle, I'm a heaven-sent instrument
"
7316,"My rhythmatic regiment navigates melodic notes
"
7317,"For your soul and your mental
"
7318,"That's why I'm instrumental, vibrations is what I'm into
"
7319,"Yeah I need my loot by rent day
"
7320,"But that ain't what gives me the heart of Kunta Kinte
"
7321,"I'm trying to get us ""us free"" like Cinque
"
7322,"I can't stop, that's why I'm hot
"
7323,"Determination, dedication, motivation
"
7324,"I'm talking to you of my many inspirations
"
7325,"When I say I can't let you or self-down
"
7326,"If I were on the highest cliff, on the highest riff
"
7327,"And if you slipped off the side and clinched on to your life
"
7328,"In my grip, I would never ever let you down
"
7329,"And when these words are found
"
7330,"Let it be known that God's penmanship has been signed
"
7331,"With a language called love
"
7332,"That's why my breath is felt by the deaf
"
7333,"And while my words are heard and confined to the ears of the blind
"
7334,"I too dream in color and in rhyme
"
7335,"So I guess I'm one of a kind in a full house
"
7336,"'Cause whenever I open my heart, my soul or my mouth
"
7337,"A touch of God reigns out
"
7338,"Take 'em to church
"
7339,"When it comes to being true, at least true to me
"
7340,"One thing I found, one thing I found
"
7341,"Oh no, you'll never let me down
"
7342,"Get up, I get, get up, I get
"
7343,"Get up, I get, get up, I get
"
7344,"Get up, I get, get up, I get down
"
7345,"Who else you know been hot this long?
"
7346,"(Oh yeah, we ain't finished)
"
7347,"Started from nothing but he got this strong
"
7348,"(The Roc is in the building)
"
7349,"Built the Roc from a pebble, peddled rock before I met you
"
7350,"Pedaled bikes, got my nephews pedal bikes because they special (Wooooo)
"
7351,"Let you tell it, man, I'm falling
"
7352,"Well, somebody must have caught him
"
7353,"'Cause every fourth quarter, I like to Mike Jordan them
"
7354,"Number one albums, what I got? Like four of them
"
7355,"More of them on the way, the eighth wonder on the way
"
7356,"Clear the way, I'm here to stay
"
7357,"Y'all can save the chitter chat, this and that
"
7358,"This is Jay, dissing Jay will get you maced
"
7359,"When I start spitting them lyrics niggas get very religious
"
7360,"Six Hail Marys, 'Please Father forgive us'
"
7361,"Young the archbishop, the Pope John Paul of y'all niggas
"
7362,"They way y'all all follow Jigga
"
7363,"Hov's a living legend and I'll tell you why
"
7364,"Everybody wanna be Hov and Hov's still alive
"
7365,"Uh-uh, I'm tryna catch the beat, uh
"
7366,"I'm tryna to catch the beat
"
7367,"I'm tryna to catch the beat, uh uh, uh
"
7368,"I'm tryna to catch the beat
"
7369,"N-now, th-th-throw your motherfuckin' hands
"
7370,"(Get 'em high)
"
7371,"All the girls pass the weed to yo' motherfuckin' man
"
7372,"(Get 'em high)
"
7373,"Now I ain't never tell you to put down your hands
"
7374,"(Keep 'em high)
"
7375,"And if you're losin' your high then smoke again
"
7376,"(Keep 'em high)
"
7377,"N-n-n-now, my flow
"
7378,"Is in the pocket like wallets, I got the bounce like hydraulics
"
7379,"I can't call it, I got the swerve like alcohol-ics
"
7380,"My freshman year I was going through hella problems
"
7381,"'Til I, built up the nerve to drop my ass up out of college
"
7382,"My teacher said I'se a loser, I told her ""Why don't you kill me?""
"
7383,"I give a fuck if you fail me, I'm gonna fol-low my heart
"
7384,"And if you follow the charts, or the plaques or the stacks
"
7385,"You ain't gotta guess who's back, you see
"
7386,"I'm so Chi that you thought I was bashful
"
7387,"But this bastard's flow will bash your skull
"
7388,"And I will, cut your girl like Pastor Tro'
"
7389,"And I don't, usually smoke, but pass the 'dro
"
7390,"And I won't, give you that money that you askin' for
"
7391,"Why you think me and Dame cool? We assholes
"
7392,"That's why we hear your music in fast forward
"
7393,"'Cause we don't wanna hear that weak shit no mo'
"
7394,"N-now, th-th-throw your motherfuckin' hands
"
7395,"(Get 'em high)
"
7396,"All the girls pass the weed to your motherfuckin' man
"
7397,"(Get 'em high)
"
7398,"Now I ain't never tell you to put down your hands
"
7399,"(Keep 'em high)
"
7400,"And if you're losin' yo' high, then smoke again
"
7401,"(Keep 'em high)
"
7402,"(""You've got mail!"") N-n-n-n-n-now who the hell is this
"
7403,"E-mailing me at 11:26?
"
7404,"Telling me that she 36-26, plus double-d
"
7405,"You know how girls on Black Planet be when they get bubbly
"
7406,"At NYU but she hail from Kansas
"
7407,"Right now she just lampin', chillin' on campus
"
7408,"Sent me a picture with her feelin' on Candice
"
7409,"Who said her favorite rapper was the late great Francis
"
7410,"W-H-I-T, it's getting late mami
"
7411,"Your screen saver say tweet, so you got to ""call me""
"
7412,"And bring a friend for my friend, his name Kweli
"
7413,"(You mean Talib? Lyrics sticks to your rib)
"
7414,"I mean (That's my favorite CD that I play at my crib)
"
7415,"I mean (You don't really know him, why is you lyin'?)
"
7416,"Yo Kwe, she don't believe me, please pick up the line
"
7417,"She gon' think that I'm lyin', just spit a couple of lines
"
7418,"Then maybe I'll be able to give her dick all the time
"
7419,"And get her high! Owww!
"
7420,"Yeah, I can't believe this nigga use my name for pickin' up dimes
"
7421,"But never-mind, I need some tracks, you tryin' to pull tracks out
"
7422,"And my rhymes is finna blow, you trying to blow backs out
"
7423,"Well okay, you twisted my arm, I'll assist with the charm
"
7424,"Ayo, ain't you meet that chick at that conference with your moms?
"
7425,"And sister's the bomb, boy she got the bougie behavior
"
7426,"Always got something to say like a okay playa hater
"
7427,"Anyways, I don't usually fuck with the Internet
"
7428,"Or chicks with birth control stuck to they arm like Nicorette
"
7429,"You really fuckin' that much or tryna get off cigarettes? (Keep 'em high)
"
7430,"If she think it's fly, she ain't met a real nigga yet
"
7431,"Now I apologize if I come off a little inconsiderate
"
7432,"I got the bubba kush and a sister could get a hit of it, yeah
"
7433,"Yo, yo
"
7434,"Get 'em high like noon or the moon
"
7435,"Or a room filled with smoke, a hype-filled with dope
"
7436,"Y'all assumed I was doomed, out of tune
"
7437,"But I still filled the notes with real nigga quotes
"
7438,"Real rappers is hard to find, like a remote
"
7439,"Control rap is out of
"
7440,"Used to, but still got love
"
7441,"That's why I abuse you who are not thugs
"
7442,"Rock clubs, it's like Tiger Woods in the hood
"
7443,"Should have my own reality show, called Soul Survivor
"
7444,"I stole on live-er niggas than you
"
7445,"You's a bitch I got ones that are thicker than you
"
7446,"How could I ever let your words affect me?
"
7447,"They say hip-hop is dead, I'm here to resurrect me
"
7448,"Marsha's too sexy to even make songs like these
"
7449,"That's why the raw don't know your name, like Alicia Keys
"
7450,"Too many featured emcees, and pro-ducers is popular
"
7451,"Twelve thousand spins, nobody got to coppin' a
"
